Price,Year,Mileage,State,Make
8995,2010,109278, WV,Ford
23520,2015,17896, NJ,INFINITI
11221,2015,44264, MD,Chevrolet
19980,2015,39230, PA,Chevrolet
17900,2017,19781, TX,Hyundai
8995,2006,132589, VA,Nissan
26997,2014,27699, AL,Ram
13994,2013,66541, AZ,Nissan
24661,2013,47037, CT,Ram
33998,2016,7171, FL,Lexus
6900,2010,114923, MD,Honda
18900,2015,68510, NJ,Ford
15898,2016,23239, NM,Jeep
21888,2017,3391, TX,Ford
33000,2014,26889, NJ,Audi
28694,2012,47139, CO,Jeep
26991,2013,47175, AZ,GMC
20598,2015,34409, PA,Toyota
37500,2016,10821, TX,Lexus
30000,2013,63785, OK,Ford
11495,2013,65340, NH,Hyundai
15994,2015,38632, IN,Chevrolet
7395,2006,150983, CO,Nissan
14995,2014,51763, CA,Chevrolet
30521,2014,35956, TN,Toyota
46989,2010,29048, FL,Porsche
5989,2010,96857, VA,Hyundai
16995,2014,26746, PA,Dodge
22995,2016,35310, CA,Chevrolet
3995,2009,127722, VA,Ford
9399,2012,72521, CA,Honda
15998,2014,34192, UT,Kia
24900,2014,37348, KY,Cadillac
15000,2010,132826, FL,Toyota
13803,2010,94019, VA,Audi
29990,2017,16313, CA,Ford
69962,2015,14271, CA,Mercedes-Benz
13995,2010,96510, NE,Ford
61999,2017,765, VA,Chevrolet
8900,2012,87717, KY,Ford
10900,2016,45375, NH,Hyundai
5295,2010,112831, VA,Ford
13291,2016,37483, CA,Kia
7187,2012,128079, TN,Chevrolet
30995,2012,77290, PA,Chevrolet
12950,2014,41412, CA,Nissan
47990,2017,22664, MA,GMC
17210,2017,8877, CT,Chevrolet
28900,2015,25677, CA,Acura
43000,2014,17078, NC,Mercedes-Benz
58983,2016,13004, VA,Ford
12777,2014,32390, IL,Nissan
6995,2010,77053, IL,Hyundai
13765,2014,29518, FL,Honda
27500,2016,18627, NC,Buick
17488,2015,28611, NC,Honda
19000,2014,19399, Fl,Chevrolet
16049,2016,35056, MA,Toyota
34487,2015,12881, IL,Mercedes-Benz
11695,2014,48569, PA,Nissan
24995,2008,85197, CA,GMC
22000,2016,25426, CA,Chevrolet
12295,2008,102282, IN,GMC
6997,2006,122562, WA,Toyota
19987,2016,41665, WA,Ford
1691,2001,176517, IN,Nissan
9999,2004,119832, VA,INFINITI
